bellow,NONSHIFTER
belly,NONSHIFTER
belly-flop,NONSHIFTER
belly-land,NONSHIFTER
belly_out,NONSHIFTER
bellyache,NONSHIFTER
bellylaugh,NONSHIFTER
belong,NONSHIFTER
belt,NONSHIFTER
belt_along,NONSHIFTER
belt_down,NONSHIFTER
belt_out,NONSHIFTER
belt_up,NONSHIFTER
bemire,NONSHIFTER
bemoan,NONSHIFTER
bemock,NONSHIFTER
bemuse,NONSHIFTER
bench,NONSHIFTER
bend,NONSHIFTER
benday,NONSHIFTER
benefact,NONSHIFTER
benefice,NONSHIFTER
beneficiate,NONSHIFTER
benefit,NONSHIFTER
benficiate,NONSHIFTER
benight,NONSHIFTER
benumb,SHIFTER
beplaster,NONSHIFTER
bequeath,NONSHIFTER
berate,NONSHIFTER
bereave,NONSHIFTER
berry,NONSHIFTER
berth,NONSHIFTER
beseech,NONSHIFTER
beseem,NONSHIFTER
beset,NONSHIFTER
beshrew,NONSHIFTER
besiege,NONSHIFTER
besmear,NONSHIFTER
besmirch,NONSHIFTER
besot,NONSHIFTER
bespangle,NONSHIFTER
bespatter,NONSHIFTER
bespeak,NONSHIFTER
bespeckle,NONSHIFTER
bespot,NONSHIFTER
besprinkle,NONSHIFTER
best,NONSHIFTER
bestialise,NONSHIFTER
bestialize,NONSHIFTER
bestir,NONSHIFTER
bestow,NONSHIFTER
bestrew,NONSHIFTER
bestride,NONSHIFTER
bet,NONSHIFTER
bet_on,NONSHIFTER
bethink,NONSHIFTER
betide,NONSHIFTER
betoken,NONSHIFTER
betray,SHIFTER
betroth,NONSHIFTER
better,SHIFTER
bevel,NONSHIFTER
bewail,NONSHIFTER
beware,NONSHIFTER
bewhisker,NONSHIFTER
bewilder,NONSHIFTER
bewitch,NONSHIFTER
bewray,NONSHIFTER
bias,NONSHIFTER
bib,NONSHIFTER
bicker,NONSHIFTER
bicycle,NONSHIFTER
bid,NONSHIFTER
bide,NONSHIFTER
biff,NONSHIFTER
bifurcate,NONSHIFTER
bight,NONSHIFTER
bike,NONSHIFTER
bilge,NONSHIFTER
bilk,SHIFTER
bill,NONSHIFTER
billet,NONSHIFTER
billow,NONSHIFTER
bin,NONSHIFTER
bind,NONSHIFTER
bind_off,NONSHIFTER
bind_over,NONSHIFTER
binge,NONSHIFTER
bioassay,NONSHIFTER
biodegrade,SHIFTER
birch,NONSHIFTER
bird,NONSHIFTER
bird-nest,NONSHIFTER
birdie,NONSHIFTER
birdlime,NONSHIFTER
birdnest,NONSHIFTER
birdwatch,NONSHIFTER
birl,NONSHIFTER
birle,NONSHIFTER
birr,NONSHIFTER
birth,NONSHIFTER
bisect,NONSHIFTER
bitch,NONSHIFTER
bite,NONSHIFTER
bite_off,NONSHIFTER
bite_out,NONSHIFTER
bitt,NONSHIFTER
bitter,NONSHIFTER
bituminise,NONSHIFTER
bituminize,NONSHIFTER
bivouac,NONSHIFTER
blab,NONSHIFTER
blab_out,NONSHIFTER
blabber,NONSHIFTER
black,NONSHIFTER
black_out,SHIFTER
blackball,SHIFTER
blackberry,NONSHIFTER
blacken,NONSHIFTER
blacken_out,NONSHIFTER
blackguard,NONSHIFTER
blackjack,NONSHIFTER
blacklead,NONSHIFTER
blackleg,NONSHIFTER
blacklist,SHIFTER
blackmail,NONSHIFTER
blacktop,NONSHIFTER
blackwash,NONSHIFTER
blame,NONSHIFTER
blanch,NONSHIFTER
blandish,NONSHIFTER
blank,NONSHIFTER
blank_out,SHIFTER
blanket,NONSHIFTER
blare,NONSHIFTER
blare_out,NONSHIFTER
blarney,NONSHIFTER
blaspheme,NONSHIFTER
blast,SHIFTER
blast_off,NONSHIFTER
blat,NONSHIFTER
blat_out,NONSHIFTER
blate,NONSHIFTER
blather,NONSHIFTER
blaze,NONSHIFTER
blaze_away,NONSHIFTER
blaze_out,NONSHIFTER
blaze_up,NONSHIFTER
blazon,NONSHIFTER
blazon_out,NONSHIFTER
bleach,NONSHIFTER
bleach_out,NONSHIFTER
blear,SHIFTER
bleat,NONSHIFTER
bleed,NONSHIFTER
bleep,NONSHIFTER
blemish,NONSHIFTER
blench,NONSHIFTER
blend,NONSHIFTER
blend_in,NONSHIFTER
bless,NONSHIFTER
blether,NONSHIFTER
blight,NONSHIFTER
blind,SHIFTER
blindfold,NONSHIFTER
blindside,NONSHIFTER
blink,NONSHIFTER
blink_away,NONSHIFTER
blinker,NONSHIFTER
blister,NONSHIFTER
blither,NONSHIFTER
blitz,NONSHIFTER
blitzkrieg,NONSHIFTER
bloat,NONSHIFTER
blob,NONSHIFTER
block,SHIFTER
block_off,SHIFTER
block_out,SHIFTER
block_up,SHIFTER
blockade,SHIFTER
blog,NONSHIFTER
blood,NONSHIFTER
bloody,NONSHIFTER
bloom,NONSHIFTER
blossom,NONSHIFTER
blossom_forth,NONSHIFTER
blossom_out,NONSHIFTER
blot,NONSHIFTER
blot_out,NONSHIFTER
blotch,NONSHIFTER
bloviate,NONSHIFTER
blow,SHIFTER
blow-dry,NONSHIFTER
blow_off,SHIFTER
blow_out,SHIFTER
blow_over,SHIFTER
blow_up,SHIFTER
blub,NONSHIFTER
blubber,NONSHIFTER
blubber_out,NONSHIFTER
bludgeon,NONSHIFTER
blue,NONSHIFTER
blue-pencil,NONSHIFTER
blueprint,NONSHIFTER
bluff,NONSHIFTER
bluff_out,NONSHIFTER
blunder,NONSHIFTER
blunder_out,NONSHIFTER
blunt,SHIFTER
blur,SHIFTER
blurt,NONSHIFTER
blurt_out,NONSHIFTER
blush,NONSHIFTER
bluster,NONSHIFTER
board,NONSHIFTER
board_up,NONSHIFTER
boast,NONSHIFTER
boat,NONSHIFTER
boat-race,NONSHIFTER
bob,NONSHIFTER
bob_about,NONSHIFTER
bob_around,NONSHIFTER
bob_up,NONSHIFTER
bobble,SHIFTER
bobsled,NONSHIFTER
bode,NONSHIFTER
bodge,SHIFTER
body,NONSHIFTER
body-surf,NONSHIFTER
body_forth,NONSHIFTER
bodypaint,NONSHIFTER
bog,SHIFTER
bog_down,SHIFTER
bogey,NONSHIFTER
boggle,NONSHIFTER
boil,NONSHIFTER
boil_down,NONSHIFTER
boil_over,NONSHIFTER
boldface,NONSHIFTER
bollix,SHIFTER
bollix_up,SHIFTER
bollocks,SHIFTER
bollocks_up,SHIFTER
bolshevise,NONSHIFTER
bolshevize,NONSHIFTER
bolster,NONSHIFTER
bolster_up,NONSHIFTER
bolt,NONSHIFTER
bolt_down,NONSHIFTER
bolt_out,NONSHIFTER
bomb,NONSHIFTER
bomb_out,NONSHIFTER
bomb_up,NONSHIFTER
bombard,NONSHIFTER
bombilate,NONSHIFTER
bombinate,NONSHIFTER
bombproof,NONSHIFTER
bond,NONSHIFTER
bonderise,NONSHIFTER
bonderize,NONSHIFTER
bone,NONSHIFTER
bone_up,NONSHIFTER
bong,NONSHIFTER
bonk,NONSHIFTER
bonnet,NONSHIFTER
boo,NONSHIFTER
boob,NONSHIFTER
boogie,NONSHIFTER
book,NONSHIFTER
book_up,NONSHIFTER
boom,NONSHIFTER
boom_out,NONSHIFTER
boomerang,NONSHIFTER
boondoggle,NONSHIFTER
boost,NONSHIFTER
boost_up,NONSHIFTER
boot,NONSHIFTER
boot_out,SHIFTER
bootleg,NONSHIFTER
bootlick,NONSHIFTER
bootstrap,NONSHIFTER
booze,NONSHIFTER
bop,NONSHIFTER
border,NONSHIFTER
border_on,NONSHIFTER
bore,NONSHIFTER
borrow,NONSHIFTER
bosom,NONSHIFTER
boss,NONSHIFTER
boss_around,NONSHIFTER
botanise,NONSHIFTER
botanize,NONSHIFTER
botch,SHIFTER
botch_up,SHIFTER
bother,NONSHIFTER
bottle,NONSHIFTER
bottle_up,SHIFTER
bottlefeed,NONSHIFTER
bottleneck,SHIFTER
bottom,NONSHIFTER
bottom_out,NONSHIFTER
bounce,NONSHIFTER
bounce_back,SHIFTER
bounce_out,NONSHIFTER
bound,NONSHIFTER
bound_off,NONSHIFTER
bourgeon,NONSHIFTER
bouse,NONSHIFTER
bow,NONSHIFTER
bow_down,NONSHIFTER
bow_out,SHIFTER
bowdlerise,NONSHIFTER
bowdlerize,NONSHIFTER
bower,NONSHIFTER
bowl,NONSHIFTER
bowl_over,NONSHIFTER
bowse,NONSHIFTER
box,NONSHIFTER
box_in,NONSHIFTER
box_up,NONSHIFTER
boycott,SHIFTER
brabble,NONSHIFTER
brace,NONSHIFTER
brace_up,NONSHIFTER
brachiate,NONSHIFTER
bracket,NONSHIFTER
bracket_out,NONSHIFTER
brad,NONSHIFTER
brag,NONSHIFTER
braid,NONSHIFTER
brail,NONSHIFTER
braille,NONSHIFTER
brain,NONSHIFTER
brainstorm,NONSHIFTER
brainwash,NONSHIFTER
braise,NONSHIFTER
brake,NONSHIFTER
branch,NONSHIFTER
branch_out,NONSHIFTER
brand,NONSHIFTER
brandish,NONSHIFTER
brandmark,NONSHIFTER
brattice,NONSHIFTER
brattle,NONSHIFTER
brave,NONSHIFTER
brave_out,NONSHIFTER
bravo,NONSHIFTER
brawl,NONSHIFTER
bray,NONSHIFTER
braze,NONSHIFTER
brazen,NONSHIFTER
breach,SHIFTER
bread,NONSHIFTER
break,SHIFTER
break-dance,NONSHIFTER
break_apart,SHIFTER
break_away,SHIFTER
break_down,SHIFTER
break_even,NONSHIFTER
break_in,NONSHIFTER
break_off,SHIFTER
break_open,NONSHIFTER
break_out,SHIFTER
break_through,NONSHIFTER
break_up,SHIFTER
break_with,SHIFTER
breakfast,NONSHIFTER
bream,NONSHIFTER
